Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East Asia & Pacific (excluding high income),73.8675513866194,73.6991707978203,73.3604493420014,73.2995058591069,73.087988500707,72.86766686241,72.4715838281203,72.3171926627717,72.0514779210326,71.7777586772501,71.176597140307,70.4601645164103,69.8838703180382,69.2468291199305,68.7278210919142,68.2177151753717,68.220209040478,67.749383913557,67.2234376707741,66.7623393168293,66.9932240256327,66.8751225183392,66.6143401243233,66.6382170391572,66.6443623269634,66.5769673269943,66.4710325673282,66.6590642908686,66.7926444754078,65.5912412340769,66.701677447692,66.8089792820007
Early-demographic dividend,35.292996411422,35.4684782229193,35.3656391582728,35.8429880318532,35.9489519550672,36.1996240239346,36.4493658898264,36.8256179372862,37.0901044562015,37.1788203149411,36.992212228244,36.7248754046461,36.7519682546001,36.7535145621522,36.7818664704624,36.7550405668704,37.0039451292259,36.8323650375608,36.871376113418,36.8333473760608,36.6124014833894,36.4579516256276,36.4600693361126,36.476734350119,36.7181542773408,36.8642793212059,36.9920256720466,37.0480344334926,37.1999773845149,36.0656151224784,37.0048791602789,37.8068641616852
East Asia & Pacific,71.8150794206912,71.7028422108894,71.4207674116304,71.432667122397,71.3052189088088,71.1824256232601,70.9294681285769,70.7550674978581,70.5394402830209,70.37374820489,69.9230892560397,69.3070947931413,68.8051686706538,68.3021677598569,67.910283668791,67.513612132079,67.5577123489331,67.1729490812171,66.7132893076023,66.3181045375319,66.548332381072,66.472492386185,66.3374397016656,66.4583385471773,66.5328297581989,66.5558151025767,66.5555249698109,66.8331797510945,67.0447163237933,65.9181231722871,67.0070092569243,67.2057316178828
Europe & Central Asia (excluding high income),61.9534418523632,61.5506914239684,59.7561882892256,59.5417912660681,59.2363263392825,58.601389683941,57.6032541279386,57.0868086352075,58.7544859700646,58.0613634055807,57.5054264051078,58.0193157729722,57.6868432809612,57.371671378917,57.4668862703664,57.5675279529995,57.7114341477617,57.5561275815715,57.5837963422239,57.4792099374279,57.637426694997,57.6094700796886,57.6340724385927,57.6832462564537,57.9049852756415,58.2759317881287,58.4086772202233,58.6214657606528,58.639340841966,57.6174084186946,58.6126424746532,59.1837269511759
Europe & Central Asia,59.6395737930996,59.4383539731628,58.6741255109406,58.7423274474667,58.6645385628736,58.6449890005003,58.420942907671,58.4614983645264,59.5660005054066,59.5778657085373,59.3826027708907,59.8081617627531,60.0007953867782,60.0872203859695,60.5116814131283,60.8981898800626,61.1393738212604,61.3568950770748,61.6058046596548,61.6854250702219,61.9605161815292,62.3595271919484,62.640996850457,62.9323146813556,63.1857823026659,63.7005682227272,64.0246889873116,64.3215007756324,64.5939883549393,63.8165346167477,64.8023772707327,65.8231284682026
Ecuador,49.117,49.201,49.27,49.725,49.851,49.88,50.221,53.967,50.963,47.905,49.103,50.299,51.494,55.079,54.063,54.995,54.303,54.434,52.101,50.645,49.492,50.674,50.794,50.288,54.623,58.187,59.126,57.445,57.361,51.482,56.918,57.497
"Egypt, Arab Rep.",24.086,24.973,24.235,25.16,23.611,22.827,22.058,21.303,22.157,22.001,21.882,19.629,20.413,21.214,22.036,22.882,24.857,23.416,24.467,24.694,24.077,24.044,24.603,24.89,24.472,24.654,23.755,19.721,16.988,15.694,16.779,17.493
Euro area,54.046111588119,53.98705466341,54.1314066116595,54.7170244169045,55.0412496688817,55.60234464031,56.0734368639653,56.8061685542943,57.7106474177952,58.3447671499079,58.5225919285236,59.4479737419566,60.4931060579919,61.0811629248594,62.0402418695413,62.8676478930671,63.4793170534792,64.1417466446667,64.6488351783834,64.9343952161801,65.3457223403176,66.1472127122251,66.627167168525,67.0155437315429,67.2133930491199,67.8937586272333,68.2275671936462,68.5254261036969,69.0436481881436,68.113844538673,69.3390615268466,70.2982706199428
Eritrea,74.252,74.36,74.495,74.681,74.761,74.845,74.869,74.832,74.768,74.667,74.557,74.39,74.187,74.027,73.894,73.908,73.938,73.9,73.966,74.017,74.138,74.182,74.131,74.349,74.18,74.146,73.987,73.99,73.915,72.929,73.061,73.869
Spain,41.18,42.519,43.33,45.126,45.859,46.705,47.957,48.61,49.631,51.784,50.449,53.693,55.5,57.124,58.85,60.662,61.898,63.586,65.127,66.252,67.338,68.349,68.731,68.807,69.019,69.187,68.857,68.631,68.995,67.609,69.679,69.918
